MCQID	conclusion
Ta-pe-23_157	False
Nu-in-40_286	True
Na-ko-40_29	False
New-pe-02_0	False
New-as-80_44	False
Jo-sp-02_96	False
Ji-ko-19_1	True
New-as-15_4	True
New-am-04_56	True
New-as-01_1037	False
Na-ko-24_20	True
New-ch-82_70	False
Na-ko-39_84	False
New-as-02_10	True
Ji-ko-37_25	True
Ji-ko-24_75	False
New-ch-83_3822	True
New-as-07_0	True
New-en-07_22	False
Ni-en-11_22	False
Th-en-45_35	True
New-gr-58_109	False
New-ko-01_0	True
Ca-sp-06_2	False
New-az-60_33	False
New-pe-11_692	True
Ni-en-17_0	True
New-ch-71_4	False
New-ch-51_179	True
Ta-pe-25_26	True
Gu-ch-08_0	True
Jo-sp-14_3	True
New-as-05_0	True
New-ch-23_35	True
Ji-ko-38_28	True
Th-en-35_28	True
New-ch-66_47	True
Jod-ch-09_110	False
Ji-ko-29_84	False
Al-en-37_75	False
Ji-ko-37_0	True
Na-ko-26_252	False
New-gr-29_0	True
Jod-ch-38_0	True
New-en-90_684	True
New-in-62_31	True
Jo-sp-32_110	True
New-su-15_112	False
Ne-ar-25_0	True
Ni-en-20_56	False
Na-ko-04_40	False
Ne-ar-38_443	True
New-as-80_0	True
Kik-in-07_0	True
Ki-pe-30_0	False
New-pe-16_0	True
Ta-pe-29_19	True
Th-en-09_10	True
New-ch-82_140	False
Ca-sp-09_180	False
Th-en-12_660	False
Ni-en-06_16	True
Jo-sp-01_237	False
New-ch-08_110	True
Ni-en-20_0	False
Ni-en-03_3	True
New-gr-05_301	False
New-pe-83_84	True
Ca-sp-43_10	False
New-en-47_10	True
Kik-in-45_56	False
Ne-ar-32_636	True
Th-en-39_56	True
Kik-in-31_0	False
New-en-02_20	False
New-ko-07_31	True
New-en-59_453	True
Ki-pe-24_0	True
An-ar-36_1990	False
New-su-75_32	False
New-in-03_1100	False
New-gr-13_11	False
Na-ko-16_0	True
New-su-15_0	True
Na-ko-09_0	True
New-ko-03_0	True
New-as-30_237	False
Th-en-05_14	False
New-gr-13_3	True
Ne-ar-05_231	True
Na-ko-24_384	True
Ca-sp-41_41	False
Ji-ko-08_10	True
New-en-68_10	False
New-gr-06_217	True
Ta-pe-13_20	False
Th-en-09_119	True
Jod-ch-58_4	True
New-su-58_1	False
New-ch-73_5	False
Sa-en-22_0	True
New-ch-81_10	True
Ji-ko-24_0	True
Ki-pe-51_73	False
Na-ko-33_230	True
Ji-ko-24_195	True
New-in-03_220	True
New-ch-09_10	True
Th-en-03_0	True
Ji-ko-24_10	True
New-ko-01_56	False
Ni-en-03_15	True
Jod-ch-12_44	False
Na-ko-43_0	False
Ki-pe-34_0	True
Na-ko-18_100	True
Th-en-01_0	False
New-en-10_0	True
New-en-04_0	True
Ne-ar-39_954	False
New-en-02_0	True
New-en-59_84	True
New-gr-29_40	True
Ni-en-06_6	False
New-ch-02_31	False
Th-en-12_1165	True
New-ko-04_223	True
New-az-39_0	True
New-en-12_468	True
Kik-in-34_186	False
New-ha-13_0	True
New-spme-05_223	False
Ni-en-06_0	True
Na-ko-23_0	True
Al-en-40_27	True
Al-en-37_0	False
Jod-ch-37_136	False
Th-en-45_198	False
Ji-ko-19_7	True
Kik-in-11_0	True
Th-en-15_8	True
New-as-05_150	True
Al-en-34_252	True
New-su-60_10	True
New-ch-15_59	True
Al-en-02_0	True
Gu-ch-18_0	False
New-pe-66_96	False
Th-en-41_324	False
New-am-72_30	True
New-su-82_0	True
New-pe-20_28	True
New-az-39_252	True
Kik-in-15_5	True
Ta-pe-25_6	True
Kik-in-34_0	True
Sa-en-9_0	True
Ne-ar-38_0	False
Al-en-02_132	True
Gu-ch-09_0	False
New-en-76_852	True
New-ha-66_0	False
New-az-60_55	False
New-en-07_10	True
New-su-57_0	True
New-pe-78_50	True
Gu-ch-32_0	True
Th-en-41_35	True
Jod-ch-13_1509	True
Ji-ko-35_74	True
New-ch-38_364	True
New-su-83_1	True
New-gr-13_0	True
Ca-sp-06_9	False
Ca-sp-06_16	True
Ne-ar-32_56	False
Jod-ch-04_56	True
Al-en-06_279	False
New-ch-13_0	True
New-en-90_240	True
Kik-in-04_18	False
New-spme-05_35	True
Ta-pe-22_85	True
Ji-ko-35_50	True
New-gr-06_0	True
New-en-49_168	False
New-pe-45_14	True
New-in-80_0	False
New-in-80_35	True
Th-en-41_177	False
New-ch-31_0	True
New-pe-83_588	False
New-en-01_21	True
Th-en-44_287	True
Ki-pe-30_10	True
New-am-02_0	True
Na-ko-24_0	True
Jod-ch-30_84	False
New-as-14_114	True
Al-en-01_447	False
Al-en-04_1	True
New-en-69_2156	False
Kik-in-11_336	True
Th-en-48_96	True
New-in-01_56	True
New-ch-04_40	True
New-su-83_35	True
Ni-en-20_206	False
Jod-ch-06_20	True
New-spme-60_10	True
Al-en-35_0	False
Th-en-19_1650	True
New-am-02_450	True
